Table 1
[Table],[Column],[DataType],[IsHidden],
event_relations (первый вход по каждому статусу),КМ_user id,Integer,false,
event_relations (первый вход по каждому статусу),Кол-во,Integer,false,
event_relations (первый вход по каждому статусу),Количество переходов в стадию,Integer,false,
event_relations (первый вход по каждому статусу),Кто перевел,Text,false,
event_relations (первый вход по каждому статусу),Неделя события,Integer,false,
event_relations (первый вход по каждому статусу),РОП,Text,false,
event_relations (первый вход по каждому статусу),СОП,Text,false,
event_relations (первый вход по каждому статусу),Суррогатный ключ для документов,Text,false,
event_relations (первый вход по каждому статусу),Суррогатный ключ_2,Text,false,
event_relations (первый вход по каждому статусу),Текущий статус,Text,false,
event_relations (перевели ПВ в 10),id лида,Integer,false,
event_relations (перевели ПВ в 10),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (перевели ПВ в 10),Дата перехода,Date,false,
event_relations (перевели ПВ в 10),ПВ был,Text,false,
event_relations (перевели ПВ в 10),ПВ стал,Text,false,
event_relations (перевели ПВ в 10),РОП,Text,false,
event_relations (повторные документы),CREATED_TIME,Date,false,
event_relations (повторные документы),DATE_CREATE,Date,false,
event_relations (повторные документы),EVENT_TEXT_1,Text,false,
event_relations (повторные документы),EVENT_TEXT_2,Text,false,
event_relations (повторные документы),ID Группы,Text,false,
event_relations (повторные документы),OWNER_ID,Integer,false,
event_relations (повторные документы),OWNER_ID.1,Integer,false,
event_relations (повторные документы),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (повторные документы),SEMANTICS,Text,false,
event_relations (повторные документы),SORT,Integer,false,
event_relations (повторные документы),STAGE_ID,Text,false,
event_relations (повторные документы),Группа стадий,Text,false,
event_relations (повторные документы),Категория,Text,false,
event_relations (повторные документы),КМ,Text,false,
event_relations (повторные документы),КМ_user id,Integer,false,
event_relations (повторные документы),Кто перевел,Text,false,
event_relations (повторные документы),Суррогатный ключ для документов,Text,false,
event_relations (пульс),ASSIGNED_BY_ID,Integer,false,
event_relations (пульс),DATE_CREATE,Date,false,
event_relations (пульс),EVENT_NAME,Text,false,
event_relations (пульс),OWNER_ID,Integer,false,
event_relations (пульс),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (пульс),Количество,Integer,false,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,Date,Date,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,№Квартала,Integer,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,№Месяца,Integer,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,Год,Integer,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,День,Integer,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,Квартал,Text,true,
LocalDateTable_004c5a65-99c4-4554-8315-88b7e653665d,Месяц,Text,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,Date,Date,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,№Квартала,Integer,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,№Месяца,Integer,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,Год,Integer,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,День,Integer,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,Квартал,Text,true,
LocalDateTable_018737a6-a97f-40cd-b6ba-19d67e1ca8e8,Месяц,Text,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,Date,Date,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,№Квартала,Integer,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,№Месяца,Integer,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,Год,Integer,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,День,Integer,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,Квартал,Text,true,
LocalDateTable_06948c70-c766-4dfa-8856-67aa93f9e6f2,Месяц,Text,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,Date,Date,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,№Квартала,Integer,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,№Месяца,Integer,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,Год,Integer,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,День,Integer,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,Квартал,Text,true,
LocalDateTable_08c27f90-8b2b-49d7-91ef-dc2c1066a6bb,Месяц,Text,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,Date,Date,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,№Квартала,Integer,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,№Месяца,Integer,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,Год,Integer,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,День,Integer,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,Квартал,Text,true,
LocalDateTable_0fa665fb-c856-4431-923e-7a7b772aacc2,Месяц,Text,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,Date,Date,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,№Квартала,Integer,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,№Месяца,Integer,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,Год,Integer,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,День,Integer,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,Квартал,Text,true,
LocalDateTable_12fe2146-7b38-4022-924f-2f110818b2f5,Месяц,Text,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,Date,Date,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,№Квартала,Integer,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,№Месяца,Integer,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,Год,Integer,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,День,Integer,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,Квартал,Text,true,
LocalDateTable_13408ea8-8857-4dd5-ac9d-51f510874473,Месяц,Text,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,Date,Date,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,№Квартала,Integer,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,№Месяца,Integer,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,Год,Integer,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,День,Integer,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,Квартал,Text,true,
LocalDateTable_19ec2570-b1fc-4c45-819c-230ed593158b,Месяц,Text,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,Date,Date,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,№Квартала,Integer,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,№Месяца,Integer,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,Год,Integer,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,День,Integer,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,Квартал,Text,true,
LocalDateTable_1c10153f-c86a-4757-9840-62e06ee36362,Месяц,Text,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,Date,Date,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,№Квартала,Integer,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,№Месяца,Integer,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,Год,Integer,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,День,Integer,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,Квартал,Text,true,
LocalDateTable_235fe75d-ce8b-40f0-9285-7b47ec430e14,Месяц,Text,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,Date,Date,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,№Квартала,Integer,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,№Месяца,Integer,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,Год,Integer,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,День,Integer,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,Квартал,Text,true,
LocalDateTable_2732a73a-204b-48cd-8b01-661bfe840ad2,Месяц,Text,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,Date,Date,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,№Квартала,Integer,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,№Месяца,Integer,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,Год,Integer,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,День,Integer,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,Квартал,Text,true,
LocalDateTable_3fb5c340-6db8-461e-906a-0c88ca75903a,Месяц,Text,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,Date,Date,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,№Квартала,Integer,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,№Месяца,Integer,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,Год,Integer,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,День,Integer,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,Квартал,Text,true,
LocalDateTable_3ffd1cbb-b34b-40ac-b5bd-57982938806d,Месяц,Text,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,Date,Date,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,№Квартала,Integer,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,№Месяца,Integer,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,Год,Integer,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,День,Integer,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,Квартал,Text,true,
LocalDateTable_4c63b09e-1276-4fee-a06d-c7a2317c8140,Месяц,Text,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,Date,Date,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,№Квартала,Integer,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,№Месяца,Integer,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,Год,Integer,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,День,Integer,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,Квартал,Text,true,
LocalDateTable_4e2a8e82-b657-4234-9282-28647aca890f,Месяц,Text,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,Date,Date,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,№Квартала,Integer,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,№Месяца,Integer,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,Год,Integer,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,День,Integer,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,Квартал,Text,true,
LocalDateTable_5131b972-c45e-4f3d-b64b-c50ec9017d73,Месяц,Text,true,
LocalDateTable_548c3410-23f1-4090-ad3a-cb311727a002,Date,Date,true,
LocalDateTable_548c3410-23f1-4090-ad3a-cb311727a002,№Квартала,Integer,true,
LocalDateTable_548c3410-23f1-4090-ad3a-cb311727a002,№Месяца,Integer,true,
